poi_id,business_name,address,city,state,zip,lat,lon,record_type,operating_status,poi_confidence,geocode_precision,competition_3mi,nearest_competitor_mi,median_household_income_est,renter_pct_est,multifamily_pct_est,no_vehicle_pct_est,population_density_est,hispanic_pct_est,black_pct_est,immigrant_language_proxy_pct_est,income_fit_score,renter_score,multifamily_score,no_vehicle_score,density_score,ethnicity_language_proxy_score,demand_score_0_100,opportunity_score_0_100,map_color,demand_zone,data_quality_flag,source,source_url,notes,google_maps_url
EX011,Wash M Dry,8440 Lake June Rd,Dallas,TX,75217,32.735,-96.675,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,24,0.88,44560,61.6,51.6,11.6,4455,44.7,23.8,36.4,100,92.4,63.2,73.8,53.7,72.4,69.8,49.1,yellow,Pleasant Grove,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP snippet,"https://www.google.com/maps/search/?api=1&query=32.735,-96.675"
EX012,Spincycle Coin Laundry,11225 Garland Rd,Dallas,TX,75218,32.852,-96.688,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,15,0.84,47009,48.8,36.9,7.3,4565,46.8,17.9,38.9,100,64.0,33.8,40.8,55.7,73.2,56.4,40.5,red,Garland South,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP snippet,"https://www.google.com/maps/search/?api=1&query=32.852,-96.688"
EX013,Big Coin Laundry,9660 Audelia Rd Ste 227,Dallas,TX,75238,32.879,-96.718,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,19,1.38,54471,52.4,37.5,8.4,5241,39.4,30.0,27.7,100,72.0,35.0,49.2,68.0,65.8,58.9,45.8,red,Garland South,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP snippet,"https://www.google.com/maps/search/?api=1&query=32.879,-96.718"
EX014,Laundry Wash,2015 N Masters Dr,Dallas,TX,75217,32.749,-96.665,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,26,0.26,46941,61.0,49.8,7.6,4160,54.0,37.2,40.0,100,91.1,59.6,43.1,48.4,89.3,65.7,42.5,yellow,Pleasant Grove,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP snippet,"https://www.google.com/maps/search/?api=1&query=32.749,-96.665"
EX015,J & J Wash & Dry Inc,11306 Lyndon B Johnson Fwy,Dallas,TX,75238,32.872,-96.68,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,17,0.26,55127,56.0,44.2,9.5,4843,32.2,33.1,24.3,100,80.0,48.4,57.7,60.8,58.1,64.0,41.4,yellow,Garland South,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP snippet,"https://www.google.com/maps/search/?api=1&query=32.872,-96.68"
EX016,Spincycle Inc,10325 Lake June Rd,Dallas,TX,75217,32.733,-96.645,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,26,0.7,41985,62.7,44.3,11.3,4938,50.2,41.0,33.4,100,94.9,48.6,71.5,62.5,84.2,69.2,47.6,yellow,Pleasant Grove,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP snippet,"https://www.google.com/maps/search/?api=1&query=32.733,-96.645"
EX017,XL Wash & Dry,9203 Skillman St,Dallas,TX,75243,32.904,-96.714,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,21,0.57,54968,50.2,36.8,10.3,5192,41.7,37.8,36.4,100,67.1,33.6,63.8,67.1,75.1,58.7,40.2,red,Garland South,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP snippet,"https://www.google.com/maps/search/?api=1&query=32.904,-96.714"
EX018,Williams Coin Laundry,9780 Walnut St Ste 440,Dallas,TX,75243,32.923,-96.717,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,22,0.09,48053,49.1,48.7,11.9,4803,37.0,18.3,24.3,100,64.7,57.4,76.2,60.1,56.9,62.1,39.1,yellow,Garland South,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP page 2,"https://www.google.com/maps/search/?api=1&query=32.923,-96.717"
EX019,Super Coin Laundromat,9751 Walnut St,Dallas,TX,75243,32.922,-96.718,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,23,0.09,60194,54.0,37.4,6.6,4657,30.2,23.5,25.3,100,75.6,34.8,35.4,57.4,52.3,55.6,35.1,red,Garland South,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP page 2,"https://www.google.com/maps/search/?api=1&query=32.922,-96.718"
EX020,Spring Valley Laundry,7879 Spring Valley Rd Ste 147,Dallas,TX,75254,32.94,-96.771,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,10,0.45,63903,46.6,44.8,11.4,5062,40.8,25.5,29.4,100,59.1,49.6,72.3,64.8,66.1,64.9,48.7,yellow,Garland South,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP page 2,"https://www.google.com/maps/search/?api=1&query=32.94,-96.771"
EX021,Wash N Go,17602 Kelly Blvd,Dallas,TX,75287,32.991,-96.829,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,11,0.0,64547,47.1,31.3,5.0,4324,27.8,33.7,21.5,100,60.2,22.6,23.1,51.3,52.5,51.7,36.2,red,Irving East,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP page 2,"https://www.google.com/maps/search/?api=1&query=32.991,-96.829"
EX022,Speed Queen Wash & Dry,4824 Gaston Ave,Dallas,TX,75246,32.807,-96.762,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,51,0.34,48729,50.6,44.0,9.6,5016,27.9,17.2,19.3,100,68.0,48.0,58.5,63.9,44.7,59.3,39.0,red,East Dallas,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP page 2,"https://www.google.com/maps/search/?api=1&query=32.807,-96.762"
EX023,Wynnewood Village Washeteria,1937 S Llewellyn Ave,Dallas,TX,75224,32.72,-96.825,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,47,0.35,35000,60.2,60.0,12.8,5094,40.1,37.4,27.5,100,89.3,80.0,83.1,65.3,69.5,74.9,48.8,yellow,Oak Cliff,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP page 2,"https://www.google.com/maps/search/?api=1&query=32.72,-96.825"
EX024,Shaddai Coin Laundry,3512 Almazan Dr,Dallas,TX,75220,32.86,-96.865,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,23,0.19,62101,42.2,31.6,10.7,4597,26.9,35.2,26.5,100,49.3,23.2,66.9,56.3,54.3,49.8,32.1,red,Irving East,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP page 2,"https://www.google.com/maps/search/?api=1&query=32.86,-96.865"
EX025,Franklin Laundry Inc,1320 N Jim Miller Rd,Dallas,TX,75217,32.756,-96.684,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,26,0.52,48807,60.8,54.8,12.4,5123,41.3,24.9,29.7,100,90.7,69.6,80.0,65.9,66.5,72.8,48.6,yellow,East Dallas,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP page 2,"https://www.google.com/maps/search/?api=1&query=32.756,-96.684"
EX026,Brooks Washateria,6111 S R L Thornton Fwy,Dallas,TX,75232,32.675,-96.823,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,9,0.96,53222,50.7,52.6,12.7,4927,32.1,35.3,24.4,100,68.2,65.2,82.3,62.3,58.9,71.1,57.2,yellow,South Dallas,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP page 2,"https://www.google.com/maps/search/?api=1&query=32.675,-96.823"
EX027,Speed King Wash & Dry,10100 Bruton Rd,Dallas,TX,75217,32.747,-96.644,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,26,0.71,43993,62.8,46.9,13.3,4330,42.8,29.4,33.8,100,95.1,53.8,86.9,51.5,71.7,69.5,47.9,yellow,Pleasant Grove,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP page 2,"https://www.google.com/maps/search/?api=1&query=32.747,-96.644"
EX028,Wash & Go Laundry Mat,17602 Kelly Blvd,Dallas,TX,75287,32.991,-96.829,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,11,0.0,63450,43.7,43.7,4.8,4499,40.0,29.8,26.8,100,52.7,47.4,21.5,54.5,65.9,55.8,38.7,red,Irving East,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP page 2,"https://www.google.com/maps/search/?api=1&query=32.991,-96.829"
EX029,Abrams Wash & Dry,9310 Forest Ln #300,Dallas,TX,75243,32.909,-96.736,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,15,0.56,61201,47.6,36.3,10.2,4847,24.6,25.1,23.4,100,61.3,32.6,63.1,60.9,46.3,57.1,39.2,red,Garland South,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP page 2,"https://www.google.com/maps/search/?api=1&query=32.909,-96.736"
EX030,J R Coin Laundry,4234 Maple Ave,Dallas,TX,75219,32.811,-96.816,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,51,0.25,64084,43.6,29.4,8.2,4849,37.3,24.2,27.2,100,52.4,18.8,47.7,60.9,60.9,48.8,31.9,red,Irving East,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP page 2,"https://www.google.com/maps/search/?api=1&query=32.811,-96.816"
EX031,Playland Coin Laundry,2464 W Illinois Ave,Dallas,TX,75233,32.719,-96.858,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,31,0.6,48735,59.1,50.0,9.2,4642,35.2,27.8,29.9,100,86.9,60.0,55.4,57.1,61.3,65.9,44.9,yellow,Oak Cliff,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP page 2,"https://www.google.com/maps/search/?api=1&query=32.719,-96.858"
EX032,Wash World,3939 S Polk St Ste 525,Dallas,TX,75224,32.693,-96.839,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,21,1.13,49494,58.8,52.0,13.4,4300,50.7,30.2,34.6,100,86.2,64.0,87.7,50.9,80.7,69.8,50.8,yellow,Oak Cliff,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP page 2,"https://www.google.com/maps/search/?api=1&query=32.693,-96.839"
EX033,Andy's Wash World,220 Sunset Ave,Dallas,TX,75208,32.746,-96.83,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,51,0.33,41020,56.8,54.7,13.8,4262,37.8,42.8,30.5,100,81.8,69.4,90.8,50.2,70.7,69.5,45.3,yellow,Oak Cliff,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP page 2,"https://www.google.com/maps/search/?api=1&query=32.746,-96.83"
EX034,Rizo's Wash,2828 W Northwest Hwy,Dallas,TX,75220,32.864,-96.877,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,21,0.39,46750,52.6,51.0,9.8,5186,34.7,17.3,29.6,100,72.4,62.0,60.0,67.0,56.3,64.4,42.5,yellow,Irving East,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP page 2,"https://www.google.com/maps/search/?api=1&query=32.864,-96.877"
EX035,Jefferson Washateria,123 E Jefferson Blvd,Dallas,TX,75203,32.743,-96.823,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,54,0.28,43652,67.3,56.4,10.8,4867,44.6,28.8,33.4,100,100,72.8,67.7,61.2,73.1,74.2,47.8,yellow,Oak Cliff,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP page 2,"https://www.google.com/maps/search/?api=1&query=32.743,-96.823"
EX036,S & J Coin Laundry,5542 Maple Ave,Dallas,TX,75235,32.819,-96.84,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,42,0.53,57994,49.3,35.4,12.0,4957,43.7,15.9,36.1,100,65.1,30.8,76.9,62.9,67.9,58.0,39.5,red,Irving East,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP page 2,"https://www.google.com/maps/search/?api=1&query=32.819,-96.84"
EX037,Tejas Quick Wash,1700 W 10th St,Dallas,TX,75208,32.742,-96.848,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,45,0.11,45092,62.9,52.3,7.7,4817,45.6,41.5,35.5,100,95.3,64.6,43.8,60.3,80.4,69.2,43.7,yellow,Oak Cliff,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP page 2,"https://www.google.com/maps/search/?api=1&query=32.742,-96.848"
EX038,Spin Cycle Washateria,655 W Illinois Ave,Dallas,TX,75224,32.72,-96.831,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,42,0.35,45428,62.8,49.0,10.9,5018,41.3,26.3,28.4,100,95.1,58.0,68.5,64.0,66.5,70.2,45.8,yellow,Oak Cliff,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP page 2,"https://www.google.com/maps/search/?api=1&query=32.72,-96.831"
EX039,Wonder Wash,3237 W Northwest Hwy,Dallas,TX,75220,32.861,-96.871,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,23,0.36,52547,50.6,43.6,8.8,4305,40.3,33.6,35.2,100,68.0,47.2,52.3,51.0,71.4,57.9,38.3,red,Irving East,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP page 2,"https://www.google.com/maps/search/?api=1&query=32.861,-96.871"
EX040,Marketplace Coin Laundry,3472 Webb Chapel Ext,Dallas,TX,75220,32.861,-96.862,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,22,0.19,55702,53.0,49.1,10.6,4746,33.4,19.7,25.6,100,73.3,58.2,66.2,59.0,54.2,63.1,40.4,yellow,Irving East,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP page 2,"https://www.google.com/maps/search/?api=1&query=32.861,-96.862"
EX041,Lombardy Laundry,2990 Lombardy Ln,Dallas,TX,75220,32.869,-96.88,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,14,0.39,46415,51.5,51.5,13.1,4267,42.3,20.5,35.3,100,70.0,63.0,85.4,50.3,68.0,67.6,44.8,yellow,Irving East,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP page 2,"https://www.google.com/maps/search/?api=1&query=32.869,-96.88"
EX042,K Y Wash & Dry Inc,9585 Scyene Rd,Dallas,TX,75227,32.768,-96.656,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,25,0.31,42837,55.5,46.0,9.1,4368,35.6,41.4,29.5,100,78.9,52.0,54.6,52.1,67.3,61.8,40.4,yellow,Pleasant Grove,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP page 3,"https://www.google.com/maps/search/?api=1&query=32.768,-96.656"
EX043,Speed Queen Laundry Buckner Blvd,1551 S Buckner Blvd,Dallas,TX,75217,32.747,-96.682,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,27,0.63,53377,60.4,46.4,6.7,5189,40.1,22.8,27.7,100,89.8,52.8,36.2,67.1,63.5,64.9,44.4,yellow,Pleasant Grove,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP page 3,"https://www.google.com/maps/search/?api=1&query=32.747,-96.682"
EX044,Scrub A Duds,2215 Gus Thomasson Rd,Dallas,TX,75228,32.826,-96.668,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,14,1.32,44890,61.4,45.6,9.7,4779,37.3,27.3,27.2,100,92.0,51.2,59.2,59.6,62.2,69.2,52.1,yellow,East Dallas,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP page 3,"https://www.google.com/maps/search/?api=1&query=32.826,-96.668"
EX045,Seminary Laundromat,1300 W Seminary Dr,Fort Worth,TX,76115,32.685,-97.34,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,25,0.65,49665,62.2,51.3,11.8,3905,47.8,35.6,36.6,100,93.8,62.6,75.4,43.7,80.7,69.1,47.2,yellow,Fort Worth South,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP,"https://www.google.com/maps/search/?api=1&query=32.685,-97.34"
EX046,Wash World,4400 E Lancaster Ave,Fort Worth,TX,76103,32.744,-97.257,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,31,0.58,38904,63.1,52.4,9.1,3816,38.2,31.0,28.2,100,95.8,64.8,54.6,42.1,65.1,66.9,45.4,yellow,Fort Worth East,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP,"https://www.google.com/maps/search/?api=1&query=32.744,-97.257"
EX047,Speed Queen Laundry NE 28th Street,245 NE 28th St,Fort Worth,TX,76164,32.795,-97.348,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,35,0.61,59007,46.6,42.7,6.1,2726,35.5,14.1,23.7,100,59.1,45.4,31.5,22.3,53.3,48.0,33.9,red,Haltom/NRH,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP,"https://www.google.com/maps/search/?api=1&query=32.795,-97.348"
EX048,Laundromax,3407 Sycamore School Rd,Fort Worth,TX,76123,32.633,-97.372,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,3,2.2,51728,53.4,37.1,12.0,3790,42.1,37.3,35.2,100,74.2,34.2,76.9,41.6,74.8,66.6,70.2,yellow,Fort Worth South,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP,"https://www.google.com/maps/search/?api=1&query=32.633,-97.372"
EX049,Ederville Community Wash,7365 Ederville Rd,Fort Worth,TX,76112,32.757,-97.191,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,15,1.34,55749,53.2,38.2,12.1,2760,32.2,22.6,21.1,100,73.8,36.4,77.7,22.9,52.3,57.1,44.3,red,Fort Worth East,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP,"https://www.google.com/maps/search/?api=1&query=32.757,-97.191"
EX050,Sylvania Wash World,720 N Sylvania Ave,Fort Worth,TX,76111,32.771,-97.31,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,37,0.28,53264,51.8,47.8,6.7,3297,42.5,24.6,28.3,100,70.7,55.6,36.2,32.7,67.0,55.7,36.4,red,Fort Worth East,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP,"https://www.google.com/maps/search/?api=1&query=32.771,-97.31"
EX051,Super Wash,1560 W Berry St,Fort Worth,TX,76110,32.706,-97.342,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,29,0.37,50563,52.4,36.3,11.4,3599,34.9,33.5,32.4,100,72.0,32.6,72.3,38.2,64.5,55.7,37.0,red,Fort Worth South,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP,"https://www.google.com/maps/search/?api=1&query=32.706,-97.342"
EX052,Azle Coin Laundry,2406 Azle Ave,Fort Worth,TX,76106,32.788,-97.384,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,34,0.52,64993,51.0,33.3,8.3,3029,37.1,26.4,33.9,100,68.9,26.6,48.5,27.8,64.4,49.8,34.3,red,Fort Worth South,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP,"https://www.google.com/maps/search/?api=1&query=32.788,-97.384"
EX053,Quick Laundry Wash,3433 E Berry St,Fort Worth,TX,76105,32.708,-97.269,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,28,0.06,41507,55.1,46.0,7.2,3639,50.5,33.5,42.4,100,78.0,52.0,40.0,38.9,85.1,59.0,37.0,red,Fort Worth East,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP,"https://www.google.com/maps/search/?api=1&query=32.708,-97.269"
EX054,Ck Coin Laundry,5159 Wichita St Ste 100,Fort Worth,TX,76119,32.677,-97.279,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,21,0.15,48330,56.1,39.9,8.5,3256,49.4,40.8,33.8,100,80.2,39.8,50.0,31.9,83.4,57.0,36.3,red,Fort Worth South,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP,"https://www.google.com/maps/search/?api=1&query=32.677,-97.279"
EX055,Super Spin Laundry,4204 Miller Ave,Fort Worth,TX,76119,32.696,-97.26,existing_named_poi,Needs Google Places verification,"A/B - Named listing, needs Google status check",address-level approximate,23,0.36,52402,63.2,48.1,8.1,3795,34.5,38.4,32.1,100,96.0,56.2,46.9,41.7,66.0,64.5,42.4,yellow,Fort Worth East,OK for market heatmap,YellowPages / Enigma / brand page snippet,See Source_Manifest,Exact from YP,"https://www.google.com/maps/search/?api=1&query=32.696,-97.26"
